label,tweet
2,As a woman you shouldn't complain about cleaning up your house. &amp; as a man you should always take the trash out...
1,boy dats cold...tyga dwn bad for cuffin dat hoe in the 1st place!!
1,UrKindOfBrand Dawg!!!!   You ever fuck a bitch and she start to cry? You be confused as shit
1, she look like a tranny
1,The shit you hear about me might be true or it might be faker than the bitch who told it to ya &#57361;
1,"_Madison_x: The shit just blows me..claim you so faithful and down for somebody but still fucking with hoes! &#128514;&#128514;&#128514;"""
1,"_BrighterDays: I can not just sit up and HATE on another bitch .. I got too much shit going on!"""
1,220; cause I'm tired of you big bitches coming for us skinny girls!!&#8221;
1,"&amp; you might not get ya bitch back &amp; thats that """
1," :hobbies include: fighting Mariam""

bitch"
1,"Keeks is a bitch she curves everyone "" lol I walked into a conversation like this. Smh"
1,"Murda Gang bitch its Gang Land """
1,"So hoes that smoke are losers ? "" yea ... go on IG"
1,"bad bitches is the only thing that i like """
1,"bitch get up off me """
1,"bitch nigga miss me with it """
1,"bitch plz whatever """
1,"bitch who do you love """
1,"bitches get cut off everyday B """
1,"black bottle &amp; a bad bitch """
1,"broke bitch cant tell me nothing """
1,"cancel that bitch like Nino """
1,"cant you see these hoes wont change """
1,"fuck no that bitch dont even suck dick "" &#128514;&#128514;&#128514; the Kermit videos bout to fuck IG up"
1,"got ya bitch tip toeing on my hardwood floors "" &#128514; http://t.co/cOU2WQ5L4q"
1,"her pussy lips like Heaven doors "" &#128524;"
1,"hoe what its hitting for """
1,"i met that pussy on Ocean Dr . i gave that pussy a pill "" &#128524;"
1,"i need a trippy bitch who fuck on Hennessy """
1,"i spend my money how i want bitch its my business """
1,"i txt my old bitch my new bitch pussy wetter """
1,"i'd say im back to the old me but my old bitches would get excited "" &#128524;"
1,"if you aint bout that Murder Game pussy nigga shut up """
1,"if you're toes ain't done you pussy stinks """
1,"im done with bitter bitches its a wrap for that . if you a angry bird theres a app for that """
1,"is that ya bitch """
1,"it aint nothing to cut a bitch off """
1,"jus meet son now he ya mane ass bitches "" #Shots"
1,"lames crying over hoes thats tears of a clown """
1,"like Snoop said in 94 we dont love these hoes """
2,"momma said no pussy cats inside my doghouse """
1,"most hated but the hoes favorite "" #2MW #SevenOne # http://t.co/BMdSVMc3rC"
1,"nice girls bad, make me get naughty. Bad yello hoe, real nice body. Down south chick, like em real thick"" http://t.co/bzRDl3kF7U"
1,"pimps up pimps up hoes down "" Future voice"
1,"post a picture of that pussy get 200 likes """
1,"pussy is a powerful drug "" &#128517; #HappyHumpDay http://t.co/R8jsymiB5b"
1,"quick piece of pussy call it a drive by """
1,"running round here like some brand new pussy thats bout to get fucked """
1,"these bitches even worst they'll send them guys for you """
1,"these hoes like niggas that spend money not talk bout it """
1,"we dont trust these niggas all these bitches """
1,"yall niggas b cuffing hoes cause yall aint never have bitches """
1,"u dodge a bullet "" &#128517; &#8220; ""All da bitches I cut off pregnant or bound to be ....thank God &#128591;""&#8221;"
1,"young Pill Chamberlain these bitches love my music """
1,"#128514;&#128514;&#128514;&#128514;&#128514;&#128514;&#128514;&#128514;&#128514;&#128514;&#128514; Teanna Trump probably cleaner than most of these twitter hoes but........."""
1,"#128514;&#128514;&#128514;&#128514;&#128514;&#128514;&#128514;&#128514;&#128514;&#128514; Gay niggas couldn't wait to act like bitches tonight"""
1,"#128514;&#128514;&#128514; And ima steal his cat n replace it with a pitbull &#128514;&#128514;&#128514;&#128514;    He a bitch you should do it"""
1,"amp; he's gone always be a hoe"""
1,"..Son of a bitch took my Tic Tacs.""

I like this movie."
1,"All I wanna do is get money and fuck model bitches!"" - Russell Simmons"
1,"2015seniorprobs: I probably wouldn&#8217;t mind school as much if we didn&#8217;t have to deal with bitch ass teachers"". Retweet"
1,"A7XDemery: I'm a fucking fag they said"""
1,"ARIZZLEINDACUT: Females think dating a pussy is cute now? http://t.co/VxBJg26Gsz"" how does doing this stuff make him a pussy?"
2,"Addicted2Guys: -SimplyAddictedToGuys http://t.co/1jL4hi8ZMF"" woof woof hot scally lad"
1,"AdoreBellaaa: Have ya ever asked your bitch for other bitches - kanye voice"" Yes"
1,"oey: How u gone bring ur side bitch to a game where You know Ya gf friends at ?! &#128553;&#128553;&#128553;&#128553;"" I SWEAR!!!!!"
2,"AllAboutManFeet: http://t.co/3gzUpfuMev"" woof woof and hot soles"
2,"Allyhaaaaa: Lemmie eat a Oreo &amp; do these dishes."" One oreo? Lol"
1,"Almightywayne__:   bitch fuck u http://t.co/pXmGA68NC1"" maybe you'll get better. Just http://t.co/TPreVwfq0S"
1,"Almightywayne__: Fuck Red Malone man bitch ass niggah"" could you please use complete sentences?"
2,"ArizonasFinest6: Why the eggplant emoji doe?""y he say she looked like scream lmao"
1,"AutoWorId: Hennessey Venom GT &#128584; http://t.co/i8eGMnKaJ9"" that's one sexy bitch"
1,"SSBYTCHH: Him seh me pussy wetter then a shower curtain....#ahmesehwetness""&lt;lmao!!"
1,"BRO_HEN314: #Eaglesnation and every #Eagles need to see that pic I just posted because that bitch just said the most racist shit"""
1,"BVSEDCHINK: Yo fuck skateboarding, all y'all some wood pushing faggots man, ball is life http://t.co/VBCzP6HMT7""
"
2,"byAnimalPics: baby monkey bathtime http://t.co/7KPWAdLF0R""
Awwwwe! This is soooo ADORABLE!"
1,"BaylaaGottaBody: &#128514;&#128514;&#128514;&#128514; I ain't shit ."" Damn Skippy lol"
1,"BeEasyJrizzy: u ever kill a ant on the sidewalk and think damn what if that nigga was on his way to get some pussy""No bs must b &gt;30%chance"
1,"BeenBasedB:  http://t.co/LuUBGL9Y5u"" 0 rings 0 mvps 0 bitches lol"
1,"eenFLYnSolo: ppl talk bad about the ghetto/hood ... but as a kid growing up, a nigga had funnnnnnn !"""
1,"BestProAdvice: The facts on tattoos...tattoo http://t.co/ZwnbhpDZ8e"" he's a pussy with not tattooing them nipples"
1,"Bill215_: &#128175;&#128175;&#128175;   Bitches be wanting to act like niggas so bad &#128553;&#128553;&#128553; that shit aint cuteeeee"" but niggas act like bitches.."
1,"itchJones92: Get worshiping bitch! http://t.co/R37CejCjou"" woof woof"
1,"BlackChiquitita: Wow.   I'm lost. Are those buttcheek piercings? http://t.co/yn6guyOUQ6"" yeah she's a hoe"
1,"BlackNerdJade: Ok, sis."" She'd rather be a broke bitch? *shrugs* she'll have to tell me how it works for her"
0,"Blackman38Tide:   queer"" gaywad"
1,"BrokenPiecesmsc:  faggot read my tweets after dat k"" it wasn't even funny lol"
1,"BrosConfessions: This bitch was so ungrateful http://t.co/06e77bGwbx"" fr ..... LULWHORE"
1,"CASHandBOOBIES: I been kidnapped yo bitch"""
0,"CB_Baby24:  alsarabsss"" hes a beaner smh you can tell hes a mexican"
1,"CCobey:  happy birthday nigs"" Thanks yo"
1,"LDHOODRUINER: when ur teacher tells u that u have homework https://t.co/RKk5vawIj1"" this bitch need to go!!!"
1,"elanG15: ""  that nigga was eating that hoe lol"" Hell Yea lol john Paul"" nigga said john paul.. http://t.co/OSIpBKPr9h"
1,"CanIFuckOrNah: What would y'all lil ugly bald headed bitches do if they stop making make-up &amp; weave?"""
1,"CarelessOne92: Leafs better win this damn game so I can go riot and shit #EarlyChristmas"" you better start looting my nig"
1,"CauseWereGuys: Going back to school sucks more dick than the hoes who attend it."""
1,"CauseWereGuys: On my way to fuck yo bitch http://t.co/j906T5zE2R"" me as a 9 year old"
1,"CeleyNichole:  how come you never bring me food"" i dont have a car retard"
1,"ChadMFVerbeck: If Richnow doesn't show up with hella tinder hoes Im not his friend anymore"" chill I brought like like 8 prople"
1,"dlerParsons: How bout them Cowboys!!!!"" Shutup pussy"
1,"ClicquotSuave: LMAOOOOOOOOOOO this nigga  http://t.co/AAnpSUjmYI"" &lt;bitch want likes for some depressing shit..foh"
1,"Coley_Cee:  girl you know I was spitting that G shit to you &amp; you was going lbvs""bitch plz"
1,"Coley_Cee: Let me make a couple tweets off cuzzo page, so I won't get in twitter jail.""lmao bitch don't trick me again"
1,"ComedyPosts: Harlem shake is just an excuse to go full retard for 30 seconds."""
1,"medyTruth: amen miley &#128591; http://t.co/P2Kb2tfyxr""okay, but she don't need to act like a hoe just bc she's ""emotionally damaged"" foh"
1,"CoryBandz: having one loyal female is wayyyyy better than having hoes , idc &#128175;"""
1,"edrys: Pussy licking pussy.... meow meow #StopWhitePeople2014 &#128049; https://t.co/KeegDCjS5K&#8221;""""""""

&#128533;"
1,"DBAB_Holloway: Check out our 12th man. #CowboysNation"" even with all those faggot ny fans in the stands"
1,"DGotBricks: What happen to them vixen ent bitches"" they got ran and threw to the side like a foothill bitch"
1,"DaeDaviDavie:  im the bitch okay nudes pat &#128554;&#128527;&#128056;"" wow"
0,"DevilGrimz:  you're fucking gay, blacklisted hoe"" Holding out for #TehGodClan anyway http://t.co/xUCcwoetmn"
1,"DiamondLoudKush: The fuck be wrong with these bitches?"" Nobody knows"
1,"Dietrich1892: Yall shut up:p"" make me bitch"
1,"onaIrish: I hate a ""I'm pregnant"" type of bitch."""
1,"DoYou_Q: Got bitches in the DM but I don't ever read'em"" which is y your top 3"
2,"DomWorldPeace: Baseball season for the win. #Yankees"" This is where the love started"
1,"Dommoneek: Little stupid as bitch I don't fuck with yoooooouuuu.."""
1,"readheadAri: she really asked me that dead ass serious tho, all i could say was ""bitch wheet"" LOL"
2,"DunderbaIl: I'm an early bird and I'm a night owl, so I'm wise and have worms."""
2,"EdgarPixar: Overdosing on heavy drugs doesn't sound bad tonight."" I do that pussy shit every day."
2," Pit Bulls Photographed As Lovely Fairy Tale Creatures http://t.co/Q0Sm89oOLh&#8221;

They *are* fairy tale creatures."
1,"rocious_Ghost:  Aw."" ...fag, don't tweet ""aw"" to me lol"
2,"FloKid88: As long as the Lakers trash from now on, I could careless. And that's real."". CC:  hahaha"
1,"Frosstyy_:  I didn't say anything tho"" kiss me then faggot"
2,"nnyPicsDepot: this the ""I play soccer, cheat on girls, and wear khaki coloured cargos"" haircut http://t.co/ZUai7qWBIR"" &#128514; yup"
1,"G27Status: I could go for a fat ass bitch on my lap"" same"
1,"elle: 17 missed calls!!!! &#128544;&#128545;""Das yo P.O bitch twitter finna be screamn #FreeMoneyMelle"
1,"GTM_Al: Ya side bitch gotta know it's rules to this shit..anybody ask you my cousin from jersey thinkin bout moving"" lmmfao &#128514;&#128514;&#128514;&#128514;"
1,"GagaTom1: &#8220; 3 | Amo los pies http://t.co/4QE1hDkK8i&#8221;"" fuck yeah"
1,"GirlThatsVonte: These hoes be thinking Meat won't slap they ass &#128564;&#128075;"" ainna bruh"
1,"GirlThatsVonte: Yall bitches wit no edges be doing the most talking &#128553;&#128564;&#9995;""&#128514;&#128514;&#128514;"
1,"GirlThatsVonte: Yall still going trick or treating this year or nah?""hell yeah ima be da sweet tooth bandit steal bitches bags n shit"
1,"Girllssues: I wanna have sex with my mom fuck her right in that pussy where I came from"" damn you got hacked like fuck"
1,"izzy_Jones94: If she kiss u with her eyes open watch that bitch!""lmfao"
1,"Goofstroop: You a woulda coulda shoulda ass hoe &#128563;&#128586;"""
1,otti_LTF: Happy Bday Bitch Ass Nigga  that bitch roll up!
1,"HBMostDope:   used to send that bitch up"""
1,"HBMostDope: Ugly bitches be like I'm my own WCW duh bitch you ain't nobody elses&#128514;&#128514;"""
1,"HaloTGMG:  nigga you know we hacky sack hoes."" ...nah, I throw no look passes lmao"
1,"HeartlessFuck: Glad I'm getting outta Atlanta. Nothing but a bunch of niggas in &amp; outta jail &amp; dumb bitches with mad kids fuckin em."""
2,"HermosaAlma: This isn't ghetto.....it's smart https://t.co/MPAzQ3Jswf"" I'm doing this idc"
1,"HiImJoriB: I would wife a hoe only cuz we wouldn't care that we cheating in each other."" ...why force the relationship in the first place?"
1,"HornyFacts: Being single isn't an excuse to be a hoe."" "
1,"HoskinsTy96: White boy power bitch"" black power bitch"
1,"udgens_11: Lets get drunk, get blowed, spit shit spark blunts &amp; fuck hoes!"" Bro white dudes have no chill."
1,"IScoutGirls:  bitch where u been"" Around the world and back. Where you been?"
1,"ItsYahBoiRay:  if I don't get my dick sucked at yo party by a bad bitch I'm fr gone set it off &#128514;&#128514;&#128514;&#128514;"" *by  *"
1,"Itsyesie: #oomf is soooo cute. But he probably has hoes on him a lot."""
1,"JAYten9: In every cartoon theirs alway a  saving these hoes lmao. http://t.co/9uKD8wtZ6x"" lmao damn captain SaveAHoe"
2,"JReebo: Who wants to get there nose in these bad bois then #scally #chav #sockfetish #stinking http://t.co/FeQxgN0W6I"" hot sox and legs"
1,"JamesyNBA: I wish I was a bitch like my brother keezy &#128530;"" ooooow I bet you do"
1,"JasminePore: If you dressed up as a cat for Halloween you are basic."" ...or a pussy"
1,"Jewelxo: Can pornhub just get a gaming stream feature so these dumb bitches can gtfo""  get on it Katie&lt;3"
1,"JoeBudden: stop being scared to choke her during sex u bitch ass niggas. She&#8217;ll like it."". Says the guy who hits women out of bed. FOH"
1,"Johnny55Perez:  ha well iguess I make them hoes loyal bro"" theyll never be loyal that y they hoes my nig"
1,"zAtta:  Oh man.. ""its 5 am, you off a molly, ho where the fuck ya seed at??"""" #fixed"
1,"KelsieBelsi: You're not a man if you refer to every girl as a bitch"""
1,"hawnSwag: Lmfao this cat started beating the shit out of me"" my nigga finally got some pussy?!? MY NIGGA!!!"
2,"yshawnSwag: Peel up peel up bring it back up rewind back where I'm from they move Shaq from the line"" ooooow who tf said that trash!!?"
1,"KingCuh:  io io alu record ho vine sai pe hahahaha"" lol anywaaaaaays..... haha"
1,"ingHendo95:  naw it's my old tape. new cover . my upcoming mixtape is #KingOfTheHill"" Yeah I'm waiting on that hoe Mayne!"
1,"KingTeej_: Ol dirty foot ass bitches.."" this was too funny to me."
1,"King_Shawn_6:  that's where I get my yellow flags for being amazing &#128079;&#128524;"" HELL YEAH NIGGY"
1,"KissMySmilee: Don't got time for bitches to be actin iffy."""
2,"htfanNeal #UCFPINKPAY come on stay alive knights nation!!!!"" This is still the early bird special. #ComeAtMeUT"
1,"KyraNadiya_: These hoes ain't loyal ; no they ain't http://t.co/h1UBsVbkGl""

Smfh &amp; wonder why nobody decent wants them"
1,"CisTJ: Bruh, you studs keep thinking I'm soft as hell. Ask ya girl how many times she screamed she was my bitch. Oh okay. STFU."" BYE HOE!"
1,"LODYCASH: dry pussy bitches always blame it on the condom&#128514;""&#128079;&#128514;&#128079;&#128514;"
1,"UNAraps: shut yo bitch ass up! https://t.co/IemN1u0gm5"" &#128557;&#128514;"
1,"LaFlareGodJosh: Gucci Mane in jail and dropping mixtapes every month and you hoes can't even text back"""
1,"Latrobemark: You love these hoes more then money wats wrong these niggas"""
1,"LeBronVuitton: A loyal bitch from the burbs without daddy issues is like finding a holographic Mewtwo."" ...sounding like me over there lol"
1,"iLFridayHOE: Easy cum, easy hoe"" That's a fact !"
